t,motion_raw,motion_smooth,is_boundary
5134,0.025023,0.026416,0
5135,0.024893,0.026349,0
5136,0.030006,0.026135,0
5137,0.024772,0.026332,0
5138,0.024666,0.026275,0
5139,0.024507,0.026197,0
5140,0.030775,0.025872,0
5141,0.025495,0.026154,0
5142,0.025263,0.026133,0
5143,0.030026,0.025840,0
5144,0.025564,0.026347,0
5145,0.025847,0.026410,0
5146,0.025782,0.026434,0
5147,0.027182,0.026220,0
5148,0.024864,0.026422,0
5149,0.024923,0.026472,0
5150,0.024894,0.026481,0
5151,0.027587,0.026333,0
5152,0.025680,0.026596,0
5153,0.025654,0.026601,0
5154,0.025677,0.026558,0
5155,0.031124,0.025985,0
5156,0.025320,0.026354,0
5157,0.025413,0.026467,0
5158,0.030910,0.026223,0
5159,0.025603,0.026695,0
5160,0.025526,0.026933,0
5161,0.025480,0.027129,0
5162,0.029985,0.027194,0
5163,0.025541,0.027436,0
5164,0.025519,0.027505,0
5165,0.025576,0.027504,0
5166,0.028341,0.027071,0
5167,0.025411,0.027206,0
5168,0.025480,0.027196,0
5169,0.025488,0.027134,0
5170,0.037116,0.026737,0
5171,0.025839,0.026956,0
5172,0.026001,0.026895,0
5173,0.033608,0.026807,0
5174,0.024628,0.026935,0
5175,0.024541,0.026821,0
